ID;Active (0/1);Name *;Categories (x,y,z...);Wholesale price;Brand;Delivery;Availability;Description
;1;Figurka NECA AC/DC Clothed Bon Scott (Highway to Hell) 20 cm;NECA,Gadżety muzyczne;289,00zł;NECA;4-7 dni;Produkt dostępny;<div class="resetcss" itemprop="description"><p><strong><span style="font-size: small;">Figurka NECA AC/DC Clothed Bon Scott (Highway to Hell) 20 cm.</span></strong></p><p><span style="font-size: small;">Świetne wykonanie, dodatkowe akcesoria w zestawie. Figurka ruchoma, kilkanaście punktów artykulacji/ ustawienia.</span></p><p><span style="font-size: small;">Idealny pomysł na prezent lub poszerzenie kolekcji.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany.</span> </p><p><span style="font-size: small;">Warto także zerknąć na pozostałe figurki dostępne w naszej ofercie.</span></p></div>
;1;Figurka NECA Flash Gordon (1980) Ultimate Vultan 18 cm;NECA,Inne Filmy i Seriale;245,00zł;NECA;4-7 dni;Produkt dostępny;<div class="resetcss" itemprop="description"><p><strong>Figurka NECA Flash Gordon (1980) Ultimate Vultan 18 cm.</strong></p><p><span style="font-size: small;">Wymiary: 18 cm.</span></p><p><span style="font-size: small;">Świetne wykonanie, dodatkowe akcesoria w zestawie. Figurka ruchoma, kilkanaście punktów artykulacji/ ustawienia.</span></p><p><span style="font-size: small;">Idealny pomysł na prezent lub poszerzenie kolekcji.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany.</span> </p><p><span style="font-size: small;">Warto także zerknąć na pozostałe figurki dostępne w naszej ofercie.</span></p></div>
;1;Figurka NECA Universal Monsters x TMNT Ultimate Raphael as Frankenstein's Monster 18 cm;NECA,Żółwie Ninja (TMNT);219,00zł;NECA;4-7 dni;Produkt dostępny;<div class="resetcss" itemprop="description"><p><strong>Figurka NECA Teenage Mutant Ninja Turtles (Mirage Comics) Splinter.</strong></p><p><span style="font-size: small;">Wymiary: ok. 18 cm.</span></p><p><span style="font-size: small;">Świetne wykonanie, dodatkowe akcesoria w zestawie. Figurka ruchoma, kilkanaście punktów artykulacji/ ustawienia.</span></p><p><span style="font-size: small;">Idealny pomysł na prezent lub poszerzenie kolekcji.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany.</span> </p><p><span style="font-size: small;"><strong>Warto także zerknąć na pozostałe figurki dostępne w naszej ofercie.</strong></span></p></div>
;1;Figurka NECA Teenage Mutant Ninja Turtles (Mirage Comics) Casey Jones 18 cm;NECA,Żółwie Ninja (TMNT);249,00zł;NECA;4-7 dni;Produkt dostępny;<div class="resetcss" itemprop="description"><p><strong>Figurka NECA Teenage Mutant Ninja Turtles (Mirage Comics) Casey Jones 18 cm.</strong></p><p><span style="font-size: small;">Wymiary: ok. 18 cm.</span></p><p><span style="font-size: small;">Świetne wykonanie, dodatkowe akcesoria w zestawie. Figurka ruchoma, kilkanaście punktów artykulacji/ ustawienia.</span></p><p><span style="font-size: small;">Idealny pomysł na prezent lub poszerzenie kolekcji.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany.</span> </p><p><span style="font-size: small;">Warto także zerknąć na pozostałe figurki dostępne w naszej ofercie.</span></p></div>
;1;Figurka NECA Flash Gordon (1980) Ultimate Ming (Red Military Outfit) 18 cm;NECA,Inne Filmy i Seriale;245,00zł;NECA;4-7 dni;Produkt dostępny;<div class="resetcss" itemprop="description"><p><strong><span style="font-size: small;">Figurka NECA Flash Gordon (1980) Ultimate Ming (Red Military Outfit) 18 cm.</span></strong></p><p><span style="font-size: small;">Wymiary: 18 cm.</span></p><p><span style="font-size: small;">Świetne wykonanie, dodatkowe akcesoria w zestawie. Figurka ruchoma, kilkanaście punktów artykulacji/ ustawienia.</span></p><p><span style="font-size: small;">Idealny pomysł na prezent lub poszerzenie kolekcji.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany.</span> </p><p><span style="font-size: small;">Warto także zerknąć na pozostałe figurki dostępne w naszej ofercie.</span></p></div>
;1;Figurka NECA AC/DC Clothed Angus Young (Highway to Hell) 20 cm;NECA,Gadżety muzyczne;219,00zł;NECA;4-7 dni;Produkt dostępny;<div class="resetcss" itemprop="description"><p><strong><span style="font-size: small;">Figurka NECA AC/DC Clothed Angus Young (Highway to Hell) 20 cm.</span></strong></p><p><span style="font-size: small;">Wymiary: ok. 18 cm.</span></p><p><span style="font-size: small;">Świetne wykonanie, dodatkowe akcesoria w zestawie. Figurka ruchoma, kilkanaście punktów artykulacji/ ustawienia.</span></p><p><span style="font-size: small;">Idealny pomysł na prezent lub poszerzenie kolekcji.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany.</span> </p><p><span style="font-size: small;">Warto także zerknąć na pozostałe figurki dostępne w naszej ofercie.</span></p></div>
;1;Figurka Anakin Skywalker Star Wars Funko POP Deluxe Darth Vader First Appearance 15 cm;Funko,Star Wars Gwiezdne Wojny;175,00zł;Funko;4-7 dni;Produkt dostępny;<div class="resetcss" itemprop="description"><p><strong>Figurka Anakin Skywalker Star Wars Funko POP Deluxe Darth Vader First Appearance 15 cm.</strong></p><p><span style="font-size: small;">Urocza figurka wykonana jest z winylu.</span></p><p><span style="font-size: small;">Wymiary: ok. 15 cm.</span></p><p><span style="font-size: small;">Całość w oryginalnym opakowaniu.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany.</span></p><p><span style="font-size: small;">Jak na zdjęciu.</span> </p><p><span style="font-size: small;"><strong>Mega pomysł na prezent dla każdego fana serii filmów Star Wars - Gwiezdne Wojny. Sprawdź także pozostałe figurki Funko POP! dostępne w sklepie GeekUP.</strong></span></p></div>
;1;Figurka NECA Dungeons & Dragons Dungeons & Dragons Ultimate Grimsword 18 cm;NECA,Inne Filmy i Seriale;139,00zł;NECA;4-7 dni;Produkt dostępny;<div class="resetcss" itemprop="description"><p><strong><span style="font-size: small;">Figurka NECA Dungeons &amp; Dragons Dungeons &amp; Dragons Ultimate Grimsword 18 cm.</span></strong></p><p><span style="font-size: small;">Wymiary: 18 cm.</span></p><p><span style="font-size: small;">Świetne wykonanie, dodatkowe akcesoria w zestawie. Figurka ruchoma, kilkanaście punktów artykulacji/ ustawienia.</span></p><p><span style="font-size: small;">Idealny pomysł na prezent lub poszerzenie kolekcji.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany.</span> </p><p><span style="font-size: small;">Warto także zerknąć na pozostałe figurki dostępne w naszej ofercie.</span></p></div>
;1;Figurka Darth Maul Funko POP! Star Wars Dark Side;Funko,Star Wars Gwiezdne Wojny;69,99zł;Funko;4-7 dni;Produkt dostępny;<div class="resetcss" itemprop="description"><p><strong>Figurka Darth Maul Funko POP! Star Wars Dark Side.</strong></p><p><span style="font-size: small;">Urocza figurka wykonana jest z winylu.</span></p><p><span style="font-size: small;">Wymiary: ok. 10 cm.</span></p><p><span style="font-size: small;">Całość w oryginalnym opakowaniu.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany.</span></p><p> </p></div>
;1;Figurka Minions x BTS Funko POP! SUGA 9 Gru i Minionki;Funko,Inne Bajki, Anime, Komiksy;69,99zł;Funko;4-7 dni;Produkt dostępny;<div class="resetcss" itemprop="description"><p><strong>Figurka Minions x BTS Funko POP! SUGA 9 Gru i Minionki.</strong></p><p>Całość w oryginalnym opakowaniu.</p><p>Produkt oryginalny, licencjonowany.</p><p>Wymiary: ok. 9 cm.</p><p>Sprawdź także pozostałe figurki Funko POP! dostępne w naszym geekowym sklepie.</p></div>
