ID;Active (0/1);Name *;Categories (x,y,z...);Wholesale price;Brand;Delivery;Availability;Description
;1;Pierœcieñ Green Lantern Replika DC Comics Noble Collection;(Noble Collection,DC Comics);75,00z³;Noble Collection;24 godziny;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Replika Pierœcieñ Green Lantern DC Comics.</strong></p><p>Od znanego i szanowanego producenta, lidera rynku replik filmowych - <strong>Noble Collection. </strong></p><p>Rozmiar uniwersalny.</p><p>Wykonany z materia³ów niemetalowych.</p><p>Po w³¹czeniu pierœcieñ œwieci.</p><p><strong>Warto zerkn¹æ na pozosta³e gad¿ety i repliki dostêpne w naszym sklepie.</strong></p><div id="spoon-plugin-kncgbdglledmjmpnikebkagnchfdehbm-2" style="display: none;"> </div></div>
;1;Figurka Toy Story Bitty POP! Funko 4-pack Forky Woody;(Funko,Disney);49,00z³;Funko;24 godziny;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong><span style="font-size: small;">Mini figurki Funko POP! Bitty Toy Story 4-pack Forky.</span></strong></p><p>W zestawie znajduj¹ siê 4 figurki.</p><p><span style="font-size: small;">Wymiary: ok. 3,2 cm.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany, fabrycznie zafoliowany i zamkniêty.</span></p><p><span style="font-size: small;"><strong>SprawdŸ tak¿e pozosta³e figurki Funko dostêpne w sklepie GeekUP!.</strong></span></p></div>
;1;Figurka Funko Soda Frost Giant Loki Marvel 9 cm;(Funko,Marvel);45,00z³;Funko;24 godziny;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong><span style="font-size: small;">Figurka Funko z serii Soda Marvel Frost Giant Loki.</span></strong></p><p><strong><span style="font-size: small;">Seria Soda od Funko to figurka zapakowana w metalow¹ puszkê. </span></strong></p><p><strong><span style="font-size: small;">W tym modelu jest mo¿liwoœæ trafienia figurki CHASE.</span></strong></p><p><span style="font-size: small;">Wymiary: ok. 9 cm.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany, fabrycznie zafoliowany i zamkniêty.</span></p><p><span style="font-size: small;"><strong>SprawdŸ tak¿e pozosta³e figurki Funko dostêpne w sklepie GeekUP!</strong></span></p></div>
;1;Brelok Pochita Chainsaw Man Funko POP!;(Funko,Funko POP!);35,00z³;Funko;24 godziny;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong><span style="font-size: small;">Brelok Figurka Pochita Funko POP! Chainsaw Man.</span></strong></p><p><span style="font-size: small;">Urocza figurka wykonana jest z winylu.</span></p><p><span style="font-size: small;">Ca³oœæ w oryginalnym opakowaniu.</span></p><p><span style="font-size: small;">Wymiary: ok. 4 cm.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany.</span></p></div>
;1;Figurka Sprigatito Funko POP Pokemon;(Funko,Pokemon);69,99z³;Funko;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Figurka Sprigatito Funko POP Pokemon.</strong></p><p><strong><span style="font-size: small;">Urocza figurka wykonana jest z winylu.</span></strong></p><p><span style="font-size: small;">Wymiary: ok. 9 cm.</span></p><p><span style="font-size: small;">Ca³oœæ w oryginalnym opakowaniu.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany.</span></p></div>
;1;Figurka Psyduck Funko POP Pokemon;(Funko,Pokemon);69,99z³;Funko;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Figurka Psyduck Funko POP Pokemon.</strong></p><p><strong><span style="font-size: small;">Urocza figurka wykonana jest z winylu.</span></strong></p><p><span style="font-size: small;">Wymiary: ok. 9 cm.</span></p><p><span style="font-size: small;">Ca³oœæ w oryginalnym opakowaniu.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany.</span></p></div>
;1;Figurka Rattata Funko POP Pokemon;(Funko,Pokemon);55,00z³;Funko;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong><span style="font-size: small;">Figurka Rattata Funko POP Pokemon.</span></strong></p><p><strong><span style="font-size: small;">Urocza figurka wykonana jest z winylu.</span></strong></p><p><span style="font-size: small;">Wymiary: ok. 9 cm.</span></p><p><span style="font-size: small;">Ca³oœæ w oryginalnym opakowaniu.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany.</span></p></div>
;1;Figurka Growlithe Funko POP Pokemon;(Funko,Pokemon);55,00z³;Funko;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Figurka Growlithe Funko POP Pokemon.</strong></p><p><span style="font-size: small;">Urocza figurka wykonana jest z winylu.</span></p><p><span style="font-size: small;">Wymiary: ok. 9 cm.</span></p><p><span style="font-size: small;">Ca³oœæ w oryginalnym opakowaniu.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany.</span></p></div>
;1;Figurka Piplup Funko POP Pokemon;(Funko,Pokemon);55,00z³;Funko;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong><span style="font-size: small;">Figurka Piplup Funko POP Pokemon.</span></strong></p><p><span style="font-size: small;">Urocza figurka wykonana jest z winylu.</span></p><p><span style="font-size: small;">Wymiary: ok. 9 cm.</span></p><p><span style="font-size: small;">Ca³oœæ w oryginalnym opakowaniu.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany.</span></p></div>
;1;Figurka Pidgeotto Funko POP Pokemon;(Funko,Pokemon);49,00z³;Funko;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Figurka Pidgeotto Funko POP Pokemon.</strong></p><p><span style="font-size: small;">Urocza figurka wykonana jest z winylu.</span></p><p><span style="font-size: small;">Wymiary: ok. 9 cm.</span></p><p><span style="font-size: small;">Ca³oœæ w oryginalnym opakowaniu.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany.</span></p></div>
