ID;Active (0/1);Name *;Parent category;Root category (0/1);URL rewritten
;1;Rick And Morty;Gad¿ety Z Filmów I Seriali;0;/gadzety-z-filmow-i-seriali/rick-and-morty
;1;South Park;Gad¿ety Z Filmów I Seriali;0;/gadzety-z-filmow-i-seriali/south-park
;1;Star Wars Gwiezdne Wojny;Gad¿ety Z Filmów I Seriali;0;/gadzety-z-filmow-i-seriali/star-wars-gwiezdne-wojny
;1;Star Trek;Gad¿ety Z Filmów I Seriali;0;/gadzety-z-filmow-i-seriali/star-trek
;1;Stranger Things;Gad¿ety Z Filmów I Seriali;0;/gadzety-z-filmow-i-seriali/stranger-things
;1;The Office;Gad¿ety Z Filmów I Seriali;0;/gadzety-z-filmow-i-seriali/the-office
;1;Inne Filmy I Seriale;Gad¿ety Z Filmów I Seriali;0;/gadzety-z-filmow-i-seriali/inne-filmy-i-seriale
;1;Gad¿ety Z Komiksów, Anime I Bajek;Zakupy Wg Tematyki;0;/zakupy-wg-tematyki/gadzety-z-komiksow-anime-i-bajek
;1;Attack On Titan;Gad¿ety Z Komiksów, Anime I Bajek;0;/gadzety-z-komiksow-anime-i-bajek/attack-on-titan
;1;Chainsaw Man;Gad¿ety Z Komiksów, Anime I Bajek;0;/gadzety-z-komiksow-anime-i-bajek/chainsaw-man
;1;Cowboy Bebop;Gad¿ety Z Komiksów, Anime I Bajek;0;/gadzety-z-komiksow-anime-i-bajek/cowboy-bebop
;1;Dc Comics;Gad¿ety Z Komiksów, Anime I Bajek;0;/gadzety-z-komiksow-anime-i-bajek/dc-comics
;1;Batman;Dc Comics;0;/dc-comics/batman
;1;Superman;Dc Comics;0;/dc-comics/superman
;1;Death Note;Gad¿ety Z Komiksów, Anime I Bajek;0;/gadzety-z-komiksow-anime-i-bajek/death-note
;1;Demon Slayer;Gad¿ety Z Komiksów, Anime I Bajek;0;/gadzety-z-komiksow-anime-i-bajek/demon-slayer
;1;Disney;Gad¿ety Z Komiksów, Anime I Bajek;0;/gadzety-z-komiksow-anime-i-bajek/disney
;1;Dragon Ball Z;Gad¿ety Z Komiksów, Anime I Bajek;0;/gadzety-z-komiksow-anime-i-bajek/dragon-ball-z
;1;Hello Kitty;Gad¿ety Z Komiksów, Anime I Bajek;0;/gadzety-z-komiksow-anime-i-bajek/hello-kitty
;1;Jujutsu Kaisen;Gad¿ety Z Komiksów, Anime I Bajek;0;/gadzety-z-komiksow-anime-i-bajek/jujutsu-kaisen
;1;Marvel;Gad¿ety Z Komiksów, Anime I Bajek;0;/gadzety-z-komiksow-anime-i-bajek/marvel
;1;Deadpool;Marvel;0;/marvel/deadpool
;1;My Hero Academia;Gad¿ety Z Komiksów, Anime I Bajek;0;/gadzety-z-komiksow-anime-i-bajek/my-hero-academia
;1;Naruto  Boruto;Gad¿ety Z Komiksów, Anime I Bajek;0;/boruto
;1;One Piece;Gad¿ety Z Komiksów, Anime I Bajek;0;/gadzety-z-komiksow-anime-i-bajek/one-piece
;1;One Punch Man;Gad¿ety Z Komiksów, Anime I Bajek;0;/gadzety-z-komiksow-anime-i-bajek/one-punch-man
;1;Pokemon;Gad¿ety Z Komiksów, Anime I Bajek;0;/gadzety-z-komiksow-anime-i-bajek/pokemon
;1;Sailor Moon (Czarodziejka Z Ksiê¿yca);Gad¿ety Z Komiksów, Anime I Bajek;0;/gadzety-z-komiksow-anime-i-bajek/sailor-moon-czarodziejka-z-ksiezyca
;1;Spy X Family;Gad¿ety Z Komiksów, Anime I Bajek;0;/gadzety-z-komiksow-anime-i-bajek/spy-x-family
;1;Studio Ghibli;Gad¿ety Z Komiksów, Anime I Bajek;0;/gadzety-z-komiksow-anime-i-bajek/studio-ghibli
;1;Toy Story;Gad¿ety Z Komiksów, Anime I Bajek;0;/gadzety-z-komiksow-anime-i-bajek/toy-story
;1;Masters Of The Universe;Gad¿ety Z Komiksów, Anime I Bajek;0;/gadzety-z-komiksow-anime-i-bajek/masters-of-the-universe
;1;Yu-Gi-Oh!;Gad¿ety Z Komiksów, Anime I Bajek;0;/gadzety-z-komiksow-anime-i-bajek/yu-gi-oh
