ID;Active (0/1);Name *;Parent category;Root category (0/1);URL rewritten;ParentID
133;1;Gadżety muzyczne;Zakupy wg tematyki;0;gadzety-muzyczne;49
134;1;Pozostałe geekowe gadżety;Zakupy wg tematyki;0;pozostale-geekowe-gadzety;49
135;1;Producenci;Home;0;producenci;1
136;1;Bandai;Producenci;0;bandai;135
137;1;Dark Horse;Producenci;0;dark-horse;135
138;1;Difuzed;Producenci;0;difuzed;135
139;1;Funko;Producenci;0;funko;135
140;1;FuRyu;Producenci;0;furyu;135
141;1;Good Smile Company;Producenci;0;good-smile-company;135
142;1;Hasbro;Producenci;0;hasbro;135
143;1;Hot Toys;Producenci;0;hot-toys;135
144;1;Loungefly by Funko;Producenci;0;loungefly-by-funko;135
145;1;McFarlane Toys;Producenci;0;mcfarlane-toys;135
146;1;Mezco Toys;Producenci;0;mezco-toys;135
147;1;NECA;Producenci;0;neca;135
148;1;Noble Collection;Producenci;0;noble-collection;135
149;1;Numskull;Producenci;0;numskull;135
150;1;Panini;Producenci;0;panini;135
151;1;The Carat Shop;Producenci;0;the-carat-shop;135
152;1;Weta Workshop;Producenci;0;weta-workshop;135
153;1;Youtooz;Producenci;0;youtooz;135
154;1;Manga;Home;0;manga;1
155;1;J.P. Fantastica;Manga;0;jp-fantastica;154
156;1;Berserk;J.P. Fantastica;0;berserk;155
157;1;Naruto;J.P. Fantastica;0;naruto;155
158;1;Waneko;Manga;0;waneko;154
159;1;Bungou Stray Dogs Dead Apple;Waneko;0;bungou-stray-dogs-dead-apple;158
160;1;Chainsaw Man;Waneko;0;chainsaw-man;158
161;1;Jujutsu Kaisen;Waneko;0;jujutsu-kaisen;158
162;1;Miecz Zabójcy Demonów;Waneko;0;miecz-zabojcy-demonow;158
163;1;My Hero Academia;Waneko;0;my-hero-academia;158
164;1;Spy x Family;Waneko;0;spy-x-family;158
165;1;The Promised Neverland;Waneko;0;the-promised-neverland;158
166;1;The Walking Cat;Waneko;0;the-walking-cat;158
167;1;Gry Karciane;Home;0;gry-karciane;1
168;1;Digimon;Gry Karciane;0;digimon;167
169;1;Dragon Ball;Gry Karciane;0;dragon-ball;167
170;1;Kolekcje Panini;Gry Karciane;0;kolekcje-panini;167
171;1;Magic The Gathering;Gry Karciane;0;magic-the-gathering;167
172;1;Marvel;Gry Karciane;0;marvel;167
173;1;Karty Podarunkowe;Home;0;karty-podarunkowe;1
174;1;Nowości;Home;0;nowosci;1
175;1;Promocje;Home;0;promocje;1
